sent_id,id,token,lemma,pos,synt_tag,head_id,head_tok
720,6,벗어나,벗어나+아,SCONJ,ccomp,25,밝혔다
720,8,미래기획위원회를,미래+기획+위원회+를,NOUN,obj,9,통해
720,9,통해,통하+어,SCONJ,ccomp,25,밝혔다
720,10,한인회의,한인회+의,NOUN,nmod,13,수립
720,11,다양한,다양+하+ㄴ,VERB,amod,13,수립
720,12,정책,정책,NOUN,compound,13,수립
720,13,수립,수립,NOUN,obl,18,두고
720,14,및,및,CCONJ,cc,16,지원에
720,15,활동,활동,NOUN,compound,16,지원에
720,16,지원에,지원+에,ADV,conj,13,수립
720,17,중점을,중점+을,NOUN,obj,18,두고
720,18,두고,두+고,CCONJ,root,0,.
720,20,.세,.세,NOUN,compound,21,위원들도
720,21,위원들도,위원+들+도,ADV,advcl,23,영입할
720,22,추가로,추가+로,ADV,advcl,23,영입할
720,23,영입할,영입+하+ㄹ,VERB,acl,24,계획”이라고
720,24,계획”이라고,계획”+이+라+고,VERB,conj,18,두고
720,25,밝혔다,밝히+었+다,VERB,conj,18,두고
721,1,김기철,김기철,NOUN,compound,2,위원장은
721,2,위원장은,위원장+은,NOUN,dislocated,22,있지만
721,3,명칭,명칭,NOUN,compound,4,변경과
721,4,변경과,변경+과,CCONJ,compound,10,회장들이
721,5,관련,관련,NOUN,conj,4,변경과
721,8,일부,일부,NOUN,compound,9,전직
721,9,전직,전직,NOUN,compound,10,회장들이
721,10,회장들이,회장+들+이,NOUN,nsubj,17,"역할"""
721,12,뉴욕한인회,뉴욕+한인회,NOUN,compound,13,자문은
721,13,자문은,자문+은,NOUN,dislocated,17,"역할"""
721,14,전직,전직,NOUN,compound,15,회장단의
721,15,회장단의,회장단+의,NOUN,nmod,17,"역할"""
721,16,기본,기본,NOUN,compound,17,"역할"""
721,17,"역할""","역할""",ADV,advcl,20,따른
721,18,이라는,이,AUX,cop,17,"역할"""
721,19,조언에,조언+에,ADV,obl,20,따른
721,20,따른,따르+ㄴ,VERB,acl,21,이유도
721,21,이유도,이유+도,ADV,advcl,22,있지만
721,22,있지만,있+지만,SCONJ,xcomp,35,이라고
721,24,무엇보다,무엇+보다,ADV,advcl,26,아닌
721,25,세만이,세+만+이,NOUN,csubj,26,아닌
721,26,아닌,아니+ㄴ,ADJ,amod,32,구성이
721,28,차세대가,차세대+가,NOUN,nsubj,30,참여하는
721,29,함께,함께,ADV,advmod,30,참여하는
721,30,참여하는,참여+하+는,VERB,acl,32,구성이
721,31,위원회,위원회,NOUN,compound,32,구성이
721,32,구성이,구성+이,NOUN,nsubj,33,중요하기
721,33,중요하기,중요+하+기,VERB,nmod,34,"때문"""
721,34,"때문""","때문""",ADV,advcl,35,이라고
721,35,이라고,이,VERB,root,0,.
721,36,덧붙혔다,덧붙히+었+다,VERB,conj,35,이라고
722,1,이명석,이명석,PROPN,compound,2,회장은
722,2,회장은,회장+은,NOUN,dislocated,12,중요하다
722,3,“한인회와,“한+인회+와,CCONJ,dislocated,10,하는
722,4,한인사회는,한인+사회+는,NOUN,conj,3,“한인회와
722,5,모든,모든,ADJ,amod,6,분야에서
722,6,분야에서,분야+에서,ADV,advcl,10,하는
722,7,세와,세+와,CCONJ,nsubj,10,하는
722,8,차세대가,차세대+가,NOUN,conj,7,세와
722,9,함께,함께,ADV,advmod,10,하는
722,10,하는,하+는,VERB,acl,11,것이
722,11,것이,것+이,NOUN,nsubj,12,중요하다
722,12,중요하다,중요+하+다,VERB,root,0,.
723,1,미래기획위원회에,미래+기획+위원회+에,ADV,obl,3,크다”고
723,2,기대가,기대+가,NOUN,nsubj,3,크다”고
723,3,크다”고,크+다+”+고,CCONJ,root,0,.
723,4,밝혔다,밝히+었+다,VERB,conj,3,크다”고
724,1,미래기획위원회는,미래+기획+위원회+는,NOUN,dislocated,14,계획이다
724,2,각,각,ADJ,amod,3,분야에서
724,3,분야에서,분야+에서,ADV,advcl,4,쌓아온
724,4,쌓아온,쌓+아+오+ㄴ,VERB,acl,6,경험을
